Town , Site , Building , Room , Account , WeekDay , Hour , Day , Month , Year , TimeStamp

Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 16 ,06, 09 , 2019 , 06 September 2019 16:15:59
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 16 ,06, 09 , 2019 , 06 September 2019 16:30:37
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 16 ,06, 09 , 2019 , 06 September 2019 16:40:37
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 16 ,06, 09 , 2019 , 06 September 2019 16:50:37
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 17 ,06, 09 , 2019 , 06 September 2019 17:00:35
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 17 ,06, 09 , 2019 , 06 September 2019 17:10:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 17 ,06, 09 , 2019 , 06 September 2019 17:20:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 17 ,06, 09 , 2019 , 06 September 2019 17:30:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 17 ,06, 09 , 2019 , 06 September 2019 17:40:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 17 ,06, 09 , 2019 , 06 September 2019 17:50:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 18 ,06, 09 , 2019 , 06 September 2019 18:00:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 18 ,06, 09 , 2019 , 06 September 2019 18:10:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 18 ,06, 09 , 2019 , 06 September 2019 18:20:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 18 ,06, 09 , 2019 , 06 September 2019 18:30:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 18 ,06, 09 , 2019 , 06 September 2019 18:40:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 18 ,06, 09 , 2019 , 06 September 2019 18:50:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 19 ,06, 09 , 2019 , 06 September 2019 19:00:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 19 ,06, 09 , 2019 , 06 September 2019 19:10:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 19 ,06, 09 , 2019 , 06 September 2019 19:20:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 19 ,06, 09 , 2019 , 06 September 2019 19:30:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 19 ,06, 09 , 2019 , 06 September 2019 19:40:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 19 ,06, 09 , 2019 , 06 September 2019 19:50:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 20 ,06, 09 , 2019 , 06 September 2019 20:00:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 20 ,06, 09 , 2019 , 06 September 2019 20:10:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 20 ,06, 09 , 2019 , 06 September 2019 20:20:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 20 ,06, 09 , 2019 , 06 September 2019 20:30:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 20 ,06, 09 , 2019 , 06 September 2019 20:40:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 20 ,06, 09 , 2019 , 06 September 2019 20:50:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 21 ,06, 09 , 2019 , 06 September 2019 21:00:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 21 ,06, 09 , 2019 , 06 September 2019 21:10:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 21 ,06, 09 , 2019 , 06 September 2019 21:20:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 21 ,06, 09 , 2019 , 06 September 2019 21:30:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 21 ,06, 09 , 2019 , 06 September 2019 21:40:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 21 ,06, 09 , 2019 , 06 September 2019 21:50:36
Buxton , Devonshire , Dome , 121a ,LEE18000313 , Friday , 22 ,06, 09 , 2019 , 06 September 2019 22:00:36







